supplier,service,data_sent_or_access,classification,hosting_regions,contract_dpa_complete,ai_training_or_retention_confirmed,breach_notice_term,owner,risk_tier,last_reviewed,next_review,evidence_link
AWS,Storage/database/compute (S3/RDS/Fargate/KMS/CloudTrail/GuardDuty),Customer documents; extracted values; audit events,Restricted,eu-west-1,PENDING - execute standard AWS DPA,N/A,72h per DPA once signed,<TBD-privacy-owner>,Critical,2026-09-10,2027-03-10,https://aws.amazon.com/compliance/data-privacy/
Supabase,Auth (JWT + SMTP) + Postgres for auth schema,User email + hashed passwords + MFA factors,Restricted,us-east-1,PENDING - execute Supabase DPA,No training on customer data,72h,<TBD-privacy-owner>,Critical,2026-09-10,2027-03-10,https://supabase.com/dpa
Stripe,Payment processing + subscription billing,Customer name + email + card token (PCI SAQ A),Restricted,Global,PENDING - execute Stripe DPA,N/A,Per DPA,<TBD-privacy-owner>,Critical,2026-09-10,2027-03-10,https://stripe.com/legal/dpa
Resend,Transactional email delivery,Recipient email + subject + body of app-generated emails,Confidential,us-east-1,PENDING - execute Resend DPA,No training,72h,<TBD-privacy-owner>,High,2026-09-10,2027-03-10,https://resend.com/legal/dpa
Sentry,Error monitoring,Stack traces + request metadata (PII scrubbed),Confidential,us,PENDING - execute Sentry DPA,No training,72h,<TBD-privacy-owner>,Medium,2026-09-10,2027-03-10,https://sentry.io/legal/dpa/
Cloudflare,DNS + inbound-email routing + CDN (future),Domain + email envelope + IPs,Confidential,Global anycast,PENDING - execute Cloudflare DPA,N/A,72h,<TBD-privacy-owner>,High,2026-09-10,2027-03-10,https://www.cloudflare.com/cloudflare-customer-dpa/
MinerU,Document OCR / layout extraction,Uploaded document body,Restricted,<TBD - confirm>,PENDING - obtain retention & DPA in writing,Confirm no training and no retention beyond job,72h,<TBD-privacy-owner>,High,2026-09-10,2026-12-10,<TBD>
OpenAI,LLM extraction (GPT-4o / o-series),Extracted text fragments + prompts,Restricted,us,PENDING - execute OpenAI API DPA (zero-retention if available),No training on API data; zero retention pending,72h,<TBD-privacy-owner>,Critical,2026-09-10,2026-12-10,https://openai.com/policies/data-processing-addendum
Google,LLM (Gemini) fallback,Extracted text fragments + prompts,Restricted,us,PENDING - execute Google Cloud DPA / Vertex AI,No training on Vertex AI content,72h,<TBD-privacy-owner>,Critical,2026-09-10,2026-12-10,https://cloud.google.com/terms/data-processing-addendum
Hugging Face,Embeddings API (BAAI/bge-base-en-v1.5),Extracted text fragments,Confidential,us / eu (provider-side),PENDING - execute HF Inference Enterprise DPA,Confirm no training,72h,<TBD-privacy-owner>,High,2026-09-10,2026-12-10,https://huggingface.co/terms-of-service
GitHub,Source hosting + CI runners,Source code + CI logs,Confidential,us,PENDING - execute GitHub DPA (org-level),No training,72h,<TBD-privacy-owner>,High,2026-09-10,2027-03-10,https://github.com/customer-terms/github-data-protection-agreement
