risk_id,date_identified,description,assets_or_data_affected,likelihood_1_to_5,impact_1_to_5,risk_score,owner,treatment,actions_due_date,status,residual_risk,accepted_by,acceptance_expiry,evidence_link
R-001,2026-09-10,Cross-workspace data leak via missing scope filter in application code,Customer documents and extracted values,2,5,10,<TBD-security-owner>,Mitigate,DB_SCOPE_GUARD=throw and DB_RLS_ENABLED=true both required in production; cross-tenant probe test in CI (tests/security/cross-tenant.db.test.ts) and scripts/verify-rls-live.ts run post-deploy,2026-10-01,In progress,3,,,../registers/README.md
R-002,2026-09-10,Supplier concentration risk: single AWS region for RDS/S3/Fargate,Customer documents; production database; ability to serve traffic,2,4,8,<TBD-system-owner>,Mitigate,Enable database Multi-AZ (variables.tf default already true); document RTO/RPO; plan a cross-region backup restore drill,2026-11-01,Open,4,,,../rto-rpo.md
R-003,2026-09-10,LLM data exfiltration: extracted document values sent to OpenAI/Gemini/HF for extraction or embedding,Customer document text,3,4,12,<TBD-privacy-owner>,Mitigate,DPAs signed with each LLM provider; retention/no-train confirmed; extraction prompts avoid raw PII where possible; audit log records upload → LLM call,2026-12-01,Open,6,,,../registers/supplier-register.csv
R-004,2026-09-10,Prompt-injection bypass via document contents steering extraction to leak state or perform unintended actions,Extraction pipeline; workspace metadata,3,3,9,<TBD-security-owner>,Mitigate,Structured JSON output schema; no tool calls; boundary between user text and system prompt; regression tests in evals/,2027-01-01,Open,4,,,../threat-model.md
R-005,2026-09-10,Row-level security regression: a new query bypasses withWorkspace() and reads another tenant,Any workspace-scoped table,2,5,10,<TBD-system-owner>,Mitigate,tests/security/cross-tenant.db.test.ts covers each model; PR checks require green DB test; RLS enabled in prod so a missed filter still fails at DB layer,ongoing,In progress,3,,,../registers/README.md
R-006,2026-09-10,Lightsail single-VPS availability: whole prod stack is one box,Uptime; recovery point,3,4,12,<TBD-system-owner>,Mitigate,Migrate primary tier to the AWS terraform in infra/aws/; keep Lightsail as a documented rollback; snapshot cadence in rto-rpo.md,2027-03-01,Open,6,,,../rto-rpo.md
R-007,2026-09-10,Secret rotation staleness: SECRETS_ENCRYPTION_KEY and JWT signing keys never rotated,Webhook signing secrets; OAuth tokens,2,4,8,<TBD-security-owner>,Mitigate,Rotation runbook in POLICY-SET §3; SECRETS_ENCRYPTION_KEY_PREVIOUS supports lazy re-seal (see lib/secret-crypto.ts); calendar reminder tied to quarterly review,2026-12-01,Open,4,,,../POLICY-SET.md
R-008,2026-09-10,MFA lock-out on admin console leaves prod unmanageable,Platform operability,2,3,6,<TBD-security-owner>,Mitigate,BREAK_GLASS_ADMIN_EMAIL bypass documented in break-glass.md; every use is logged with a [break-glass] warning line,ongoing,Closed,2,<TBD-accountable-exec>,,../break-glass.md
R-009,2026-09-10,Malware upload reaching the LLM or the reviewer,Extraction pipeline; reviewers,3,3,9,<TBD-security-owner>,Mitigate,MALWARE_SCAN_URL required in prod; lib/malware-scan.ts throws on unset (fail-closed); scanner endpoint provisioned before web boot,2026-10-01,In progress,3,,,../../../lib/malware-scan.ts
R-010,2026-09-10,Loss of audit-event log (deletion / retention gap) blocks incident forensics and HIPAA compliance,Audit events,2,4,8,<TBD-security-owner>,Mitigate,S3 audit-archives/ lifecycle rule set for 6-year retention in prod tfvars; RDS backups 7d + PITR; CloudTrail Object Lock,2026-11-01,Open,3,,,../rto-rpo.md
